transport,departure,arrival,passengers
avia,Чита,Чара,959
avia,Томск,Красноярск,999
avia,Якутск,Новосибирск,1046
avia,Волгоград,Новый Уренгой,996
avia,Волгоград,Екатеринбург,1003
avia,Екатеринбург,Нягань,1000
avia,Новосибирск,Южно-Сахалинск,1014
avia,Берёзово,Ханты-Мансийск,1005
avia,Курган,Санкт-Петербург,1073
avia,Нижний Новгород,Волгоград,1053
avia,Краснодар,Салехард,1023
avia,Благовещенск,Новосибирск,982
avia,Новый Уренгой,Белгород,1011
avia,Хабаровск,Петропавловск-Камчатский,1025
avia,Иркутск,Кызыл,1043
avia,Кызыл,Красноярск,995
avia,Казань,Пермь,982
avia,Новосибирск,Ханты-Мансийск,1010
avia,Симферополь (Крым),Воронеж,1019
avia,Москва,Череповец,1029
avia,Архангельск,Симферополь (Крым),1032
avia,Нягань,Тюмень,1049
avia,Уфа,Архангельск,1051
avia,Сургут,Волгоград,969
avia,Ростов-на-Дону,Калининград,937
avia,Новый Уренгой,Волгоград,987
avia,Минеральные Воды,Саранск,1024
avia,Владивосток,Санкт-Петербург,930
avia,Санкт-Петербург,Ханты-Мансийск,961
