,city,first_1000,first_10000,first_100000,last_1000
447,Лысьва,-1.0,-1.0,-1.0,-1.0
448,Льгов,-1.0,-1.0,-1.0,-1.0
449,Любань,-1.0,-1.0,-1.0,-1.0
450,Любим,-1.0,-1.0,-1.0,-1.0
451,Людиново,101.0,-1.0,-1.0,-1.0
452,Магадан,-1.0,-1.0,-1.0,-1.0
453,Магнитогорск,-1.0,-1.0,-1.0,-1.0
454,Майкоп,116.0,-1.0,-1.0,-1.0
455,Майский,-1.0,-1.0,-1.0,-1.0
456,Макаров,-1.0,-1.0,-1.0,-1.0
457,Макарьев,-1.0,-1.0,-1.0,-1.0
458,Максатиха,-1.0,-1.0,-1.0,-1.0
459,Макушино,-1.0,-1.0,-1.0,-1.0
460,Малая Вишера,-1.0,-1.0,-1.0,-1.0
461,Малоархангельск,-1.0,-1.0,-1.0,-1.0
462,Малоярославец,-1.0,-1.0,-1.0,-1.0
463,Мама,-1.0,-1.0,-1.0,-1.0
464,Мамадыш,-1.0,-1.0,-1.0,-1.0
465,Манжерок,-1.0,-1.0,-1.0,-1.0
466,Мантурово,-1.0,-1.0,-1.0,-1.0
467,Мариинск,-1.0,-1.0,-1.0,-1.0
468,Маркс ,-1.0,-1.0,-1.0,-1.0
469,Махачкала,86.0,-1.0,-1.0,-1.0
470,Мглин,-1.0,-1.0,-1.0,-1.0
471,Мегион,-1.0,-1.0,-1.0,-1.0
472,Медвежьегорск,-1.0,-1.0,-1.0,-1.0
473,Медногорск,-1.0,-1.0,-1.0,-1.0
474,Медынь,-1.0,-1.0,-1.0,-1.0
475,Междуреченск,-1.0,-1.0,-1.0,-1.0
476,Меленки,-1.0,-1.0,-1.0,-1.0
477,Мелеуз,-1.0,-1.0,-1.0,-1.0
478,Менделеевск,-1.0,-1.0,-1.0,-1.0
479,Мензелинск,-1.0,-1.0,-1.0,-1.0
480,Мещовск,-1.0,-1.0,-1.0,-1.0
481,Миасс,-1.0,-1.0,-1.0,-1.0
482,Микунь,-1.0,-1.0,-1.0,-1.0
483,Миллерово,104.0,-1.0,-1.0,-1.0
484,Минеральные Воды,77.0,-1.0,-1.0,-1.0
485,Минусинск,-1.0,-1.0,-1.0,-1.0
486,Миньяр,-1.0,-1.0,-1.0,-1.0
487,Мирный,-1.0,-1.0,-1.0,-1.0
488,Михайлов,94.0,-1.0,-1.0,126.0
489,Михайловка,126.0,-1.0,-1.0,-1.0
490,Михайловск,-1.0,-1.0,-1.0,-1.0
491,Мичуринск,108.0,-1.0,-1.0,-1.0
492,Могоча,-1.0,-1.0,-1.0,-1.0
493,Можайск,99.0,-1.0,-1.0,-1.0
494,Можга,-1.0,-1.0,-1.0,-1.0
495,Моздок,-1.0,-1.0,-1.0,-1.0
496,Морозовск,120.0,-1.0,-1.0,174.0
