transport,departure,arrival,passengers
avia,Грозный,Санкт-Петербург,111
avia,Уфа,Минеральные Воды,108
avia,Чита,Санкт-Петербург,111
avia,Красноярск,Мирный,104
avia,Нягань,Екатеринбург,110
avia,Новосибирск,Хабаровск,103
avia,Сочи,Калуга,108
avia,Воронеж,Симферополь (Крым),102
avia,Тюмень,Берёзово,104
avia,Анапа,Екатеринбург,109
avia,Самара,Минеральные Воды,109
avia,Самара,Тюмень,111
avia,Красноярск,Чита,110
avia,Анапа,Сургут,110
avia,Хабаровск,Красноярск,101
avia,Улан-Удэ,Новосибирск,109
avia,Сургут,Белоярский,104
avia,Краснодар,Архангельск,100
avia,Когалым,Москва,106
avia,Екатеринбург,Казань,107
avia,Пермь,Ростов-на-Дону,108
avia,Красноярск,Тура,99
avia,Сочи,Астрахань,101
avia,Симферополь (Крым),Нижний Новгород,101
avia,Краснодар,Сыктывкар,101
avia,Ульяновск,Санкт-Петербург,105
avia,Симферополь (Крым),Архангельск,101
avia,Салехард,Краснодар,106
avia,Чита,Чара,95
avia,Томск,Красноярск,99
avia,Якутск,Новосибирск,104
avia,Волгоград,Новый Уренгой,99
avia,Волгоград,Екатеринбург,100
avia,Екатеринбург,Нягань,100
avia,Новосибирск,Южно-Сахалинск,101
avia,Берёзово,Ханты-Мансийск,100
avia,Курган,Санкт-Петербург,107
avia,Нижний Новгород,Волгоград,105
avia,Краснодар,Салехард,102
avia,Благовещенск,Новосибирск,98
avia,Новый Уренгой,Белгород,101
avia,Хабаровск,Петропавловск-Камчатский,102
avia,Иркутск,Кызыл,104
avia,Кызыл,Красноярск,99
avia,Казань,Пермь,98
avia,Новосибирск,Ханты-Мансийск,101
avia,Симферополь (Крым),Воронеж,101
avia,Москва,Череповец,102
avia,Архангельск,Симферополь (Крым),103
avia,Нягань,Тюмень,104
avia,Уфа,Архангельск,105
avia,Сургут,Волгоград,96
avia,Ростов-на-Дону,Калининград,93
avia,Новый Уренгой,Волгоград,98
avia,Минеральные Воды,Саранск,102
avia,Владивосток,Санкт-Петербург,93
avia,Санкт-Петербург,Ханты-Мансийск,96
avia,Надым,Санкт-Петербург,92
avia,Нижнекамск,Симферополь (Крым),96
avia,Чара,Чита,96
avia,Усинск,Бугульма,97
avia,Астрахань,Сочи,100
avia,Санкт-Петербург,Элиста,95
avia,Москва,Нарьян-Мар,100
avia,Минеральные Воды,Нижний Новгород,91
avia,Белгород,Сургут,97
avia,Калининград,Ростов-на-Дону,98
avia,Екатеринбург,Анапа,95
avia,Минеральные Воды,Пермь,93
avia,Пермь,Казань,96
avia,Красноярск,Ростов-на-Дону,96
avia,Екатеринбург,Тюмень,93
avia,Калининград,Сочи,93
avia,Сыктывкар,Калининград,93
avia,Сургут,Белгород,101
avia,Симферополь (Крым),Мурманск,95
avia,Ханты-Мансийск,Санкт-Петербург,92
avia,Чита,Красноярск,100
avia,Симферополь (Крым),Нижнекамск,91
avia,Махачкала,Казань,101
avia,Сургут,Челябинск,94
avia,Казань,Екатеринбург,97
avia,Тюмень,Екатеринбург,95
avia,Казань,Уфа,92
avia,Архангельск,Калининград,93
avia,Москва,Липецк,89
avia,Якутск,Красноярск,87
avia,Архангельск,Минеральные Воды,90
avia,Усинск,Санкт-Петербург,95
avia,Екатеринбург,Нижний Новгород,89
avia,Волгоград,Сочи,91
